"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",2,"0.9%","0.0%","0.9%","0%","50%",8,4,4,3,"44.4%","12.9%","0%",-253,-70,-7,9,"28.0%",597,"20.7%","25.0%",0.32,0.22
"Ahri","Middle",15,"6.9%","8.3%","15.1%","40%","60%",31,41,81,2.7,"68.7%","19.7%","20%",68,49,-0.3,8.6,"24.0%",478,"23.6%","22.7%",0.4,0.3
"Akali","Middle",43,"19.7%","32.6%","52.8%","42%","56%",179,105,135,3,"63.1%","22.2%","16%",-11,117,-0.1,8.5,"24.7%",510,"25.6%","23.6%",0.2,0.22
"Akali","Top",1,"0.5%","32.6%","52.8%","0%","100%",2,4,2,1,"50.0%","21.1%","0%",-42,91,-11,7.7,"22.0%",454,"23.5%","24.0%",0.31,0.28
"Alistar","Support",1,"0.5%","0.5%","0.9%","0%","100%",1,2,3,2,"57.1%","18.2%","0%",-566,-82,11,1,"2.2%",68,"5.2%","9.1%",1.65,0.37
"Annie","Middle",14,"6.4%","39.4%","48.6%","93%","0%",46,23,101,6.4,"75.8%","23.2%","7%",251,122,3.9,7.5,"19.5%",585,"27.2%","21.6%",0.16,0.25
"Annie","Support",6,"2.8%","39.4%","48.6%","67%","17%",9,14,52,4.4,"73.5%","22.6%","33%",-176,-73,-5.8,0.7,"2.2%",230,"11.7%","9.5%",0.34,0.53
"Aphelios","ADC",16,"7.3%","1.4%","8.7%","50%","75%",50,26,37,3.3,"54.7%","16.8%","6%",-36,-54,2.1,9.5,"31.0%",477,"23.7%","25.7%",0.4,0.32
"Ashe","ADC",8,"3.7%","80.3%","95.4%","50%","38%",8,16,48,3.5,"66.7%","18.4%","38%",0,152,2,7.9,"23.9%",475,"23.2%","20.6%",0.51,0.32
"Ashe","Support",25,"11.5%","80.3%","95.4%","56%","12%",21,58,207,3.9,"75.0%","19.7%","24%",8,78,-5,1,"4.1%",337,"15.6%","10.4%",2.19,0.68
"Aurelion Sol","Middle",3,"1.4%","1.4%","2.8%","33%","67%",9,4,9,4.5,"64.3%","8.3%","0%",-16,-91,-4,10,"28.9%",729,"36.5%","27.1%",0.51,0.23
"Azir","Middle",74,"33.9%","17.9%","52.3%","57%","28%",174,165,291,2.8,"61.4%","21.5%","16%",36,69,3,8.9,"26.0%",625,"28.9%","23.4%",0.39,0.24
"Azir","Top",1,"0.5%","17.9%","52.3%","0%","0%",0,4,1,0.3,"10.0%","26.7%","0%",-405,-715,-6,7.5,"21.0%",338,"19.2%","16.7%",0,0.1
"Blitzcrank","Support",3,"1.4%","0.9%","2.3%","100%","100%",4,4,30,8.5,"70.8%","28.6%","100%",348,350,6,1.1,"2.5%",220,"9.7%","9.6%",1.65,0.28
"Braum","Support",2,"0.9%","0.0%","0.9%","50%","100%",3,3,13,5.3,"76.2%","18.8%","0%",-233,-35,-0.5,1.2,"1.6%",173,"8.0%","9.8%",1.85,0.37
"Caitlyn","ADC",32,"14.7%","75.7%","94.0%","59%","13%",112,46,122,5.1,"63.8%","16.5%","41%",306,93,8.7,9.8,"30.4%",518,"24.2%","26.6%",0.36,0.39
"Caitlyn","Support",8,"3.7%","75.7%","94.0%","75%","63%",10,21,65,3.6,"56.8%","21.6%","25%",479,36,0.9,1.6,"6.6%",412,"15.5%","14.3%",1.07,1
"Camille","Top",12,"5.5%","3.2%","8.7%","42%","83%",27,31,30,1.8,"50.0%","22.6%","33%",-46,-14,-6.5,8.3,"25.0%",420,"22.1%","23.2%",0.2,0.21
"Cassiopeia","Middle",1,"0.5%","0.0%","0.5%","0%","100%",0,3,0,0,"0.0%","20.0%","0%",-77,94,-3,9.6,"28.9%",414,"26.3%","25.1%",0.43,0.25
"Cho'Gath","ADC",1,"0.5%","0.0%","0.9%","100%","100%",2,2,2,2,"40.0%","20.0%","0%",-44,316,12,9,"28.3%",376,"15.5%","21.1%",0.33,0.23
"Cho'Gath","Top",1,"0.5%","0.0%","0.9%","100%","100%",1,3,7,2.7,"40.0%","23.1%","0%",350,271,23,7.9,"24.3%",399,"13.7%","21.8%",0.37,0.32
"Corki","Middle",4,"1.8%","0.0%","1.8%","50%","100%",10,8,15,3.1,"48.1%","19.5%","0%",187,-157,-1.5,9.7,"30.4%",690,"32.5%","26.1%",0.31,0.28
"Darius","Top",2,"0.9%","0.0%","0.9%","50%","50%",6,6,10,2.7,"76.2%","21.4%","50%",-257,-460,-18,7.7,"27.3%",429,"21.8%","24.6%",0.38,0.18
"Draven","ADC",18,"8.3%","6.4%","14.7%","67%","78%",68,34,81,4.4,"61.8%","18.5%","0%",-43,-74,0.2,9.4,"31.2%",493,"22.3%","28.0%",0.34,0.3
"Elise","Jungle",29,"13.3%","61.0%","74.3%","59%","45%",75,59,151,3.8,"63.3%","21.6%","45%",108,-20,-0.7,5.3,"14.7%",395,"17.6%","17.0%",0.76,0.57
"Ezreal","ADC",32,"14.7%","2.8%","17.4%","47%","100%",117,64,119,3.7,"63.1%","15.8%","22%",-58,31,-2.7,9.8,"32.6%",707,"32.1%","27.2%",0.22,0.31
"Fiora","Top",32,"14.7%","12.8%","27.5%","50%","69%",55,67,70,1.9,"40.8%","18.2%","13%",-91,-50,-1.6,9.1,"29.6%",455,"22.0%","24.6%",0.26,0.23
"Galio","Middle",1,"0.5%","0.5%","0.9%","0%","100%",0,2,3,1.5,"100.0%","15.4%","0%",153,-111,1,8.2,"21.4%",280,"18.5%","19.6%",0.27,0.23
"Gangplank","Top",4,"1.8%","0.5%","2.3%","75%","100%",20,11,25,4.1,"58.4%","28.9%","25%",186,144,3.5,9.2,"28.2%",754,"29.9%","26.9%",0.3,0.14
"Gnar","Top",73,"33.5%","14.2%","47.7%","58%","58%",134,151,269,2.7,"50.9%","21.6%","11%",-144,-28,-2.7,8.7,"26.4%",489,"22.6%","23.1%",0.27,0.24
"Gragas","Jungle",1,"0.5%","11.9%","29.8%","0%","0%",1,3,7,2.7,"88.9%","20.0%","100%",-316,-1005,-26,4.7,"13.8%",523,"25.2%","16.1%",0.66,0.36
"Gragas","Middle",20,"9.2%","11.9%","29.8%","45%","25%",26,41,85,2.7,"51.9%","17.2%","5%",-147,-10,-1.6,8.1,"21.9%",472,"23.9%","20.2%",0.25,0.23
"Gragas","Top",18,"8.3%","11.9%","29.8%","44%","67%",19,36,86,2.9,"57.4%","17.3%","17%",-121,-7,-6.2,7.8,"22.9%",488,"24.2%","20.9%",0.2,0.18
"Graves","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",0,2,6,3,"75.0%","14.3%","100%",593,210,4,6.2,"17.6%",361,"19.5%","20.3%",1.02,0.69
"Gwen","Top",4,"1.8%","1.8%","3.7%","50%","100%",9,8,18,3.4,"56.3%","17.0%","25%",-62,-16,-1.5,9.2,"27.8%",647,"25.9%","25.8%",0.21,0.2
"Heimerdinger","Support",39,"17.9%","7.8%","25.7%","51%","46%",40,99,216,2.6,"63.8%","23.7%","28%",163,-158,-4.3,1,"3.8%",312,"14.3%","10.5%",1.25,0.54
"Illaoi","Top",1,"0.5%","0.0%","0.5%","0%","100%",2,5,2,0.8,"80.0%","29.4%","0%",-84,-400,-3,6.8,"24.7%",473,"29.3%","24.1%",0.37,0.3
"Irelia","Middle",4,"1.8%","4.1%","7.8%","75%","100%",18,11,18,3.3,"56.3%","30.6%","25%",407,91,8.5,10.4,"30.7%",637,"23.8%","26.1%",0.3,0.34
"Irelia","Top",4,"1.8%","4.1%","7.8%","0%","75%",8,15,5,0.9,"44.8%","21.7%","25%",57,-116,-2,8.5,"28.3%",298,"17.8%","24.7%",0.3,0.14
"Jarvan IV","Support",2,"0.9%","0.5%","1.4%","100%","100%",2,7,17,2.7,"76.0%","31.8%","50%",-87,-66,-1,0.7,"2.1%",196,"9.1%","10.5%",1.59,0.49
"Jax","Top",53,"24.3%","29.8%","54.1%","51%","36%",126,112,159,2.5,"50.4%","19.2%","11%",-85,-137,-1.9,8.6,"27.0%",426,"21.3%","23.6%",0.31,0.18
"Jayce","Middle",14,"6.4%","44.0%","70.2%","43%","21%",37,32,42,2.5,"68.7%","22.1%","14%",-45,-251,-1.4,9.1,"27.3%",622,"29.1%","24.9%",0.39,0.32
"Jayce","Top",43,"19.7%","44.0%","70.2%","60%","23%",112,123,176,2.3,"58.3%","25.9%","16%",48,-49,6.6,9.1,"27.8%",671,"29.9%","24.6%",0.41,0.24
"Jhin","ADC",16,"7.3%","0.5%","9.6%","38%","94%",48,25,63,4.4,"69.4%","12.6%","31%",-317,-239,-8.8,9.1,"29.4%",460,"21.9%","24.8%",0.35,0.28
"Jhin","Support",4,"1.8%","0.5%","9.6%","75%","75%",10,5,27,7.4,"75.5%","10.0%","0%",94,-304,-2,1.6,"6.1%",290,"13.3%","12.3%",1.82,0.8
"Jinx","ADC",10,"4.6%","0.5%","5.0%","40%","80%",24,21,25,2.3,"64.5%","21.0%","30%",-79,-230,-3,10.3,"33.8%",455,"27.7%","27.4%",0.44,0.35
"K'Sante","Middle",2,"0.9%","29.4%","67.0%","100%","100%",4,0,19,23,"65.7%","0.0%","0%",395,174,7,9,"21.0%",434,"18.3%","20.6%",0.41,0.38
"K'Sante","Top",80,"36.7%","29.4%","67.0%","50%","33%",168,156,326,3.2,"57.6%","18.5%","19%",50,21,0.3,8.1,"23.1%",366,"18.3%","22.0%",0.35,0.19
"Kai'Sa","ADC",1,"0.5%","0.0%","0.5%","100%","100%",5,0,5,10,"66.7%","0.0%","0%",112,-145,-9,11,"32.3%",515,"29.2%","25.9%",0.44,0.22
"Kalista","Support",7,"3.2%","2.8%","6.0%","57%","86%",10,14,57,4.8,"72.0%","18.9%","29%",482,373,0.3,1.3,"4.6%",278,"11.8%","12.3%",1.77,0.75
"Karma","Middle",3,"1.4%","25.7%","53.2%","0%","33%",5,8,13,2.3,"78.3%","18.6%","0%",195,132,4,7.5,"21.4%",407,"23.0%","21.1%",0.52,0.27
"Karma","Support",57,"26.1%","25.7%","53.2%","44%","44%",36,142,400,3.1,"70.9%","21.9%","25%",22,114,0.4,0.9,"2.9%",216,"10.5%","9.3%",0.99,0.48
"Kassadin","Middle",19,"8.7%","44.5%","53.2%","68%","68%",80,32,79,5,"66.3%","18.8%","16%",-212,-162,-6.3,9.4,"28.7%",566,"26.7%","24.8%",0.23,0.29
"Kennen","Top",9,"4.1%","3.2%","7.3%","56%","44%",30,20,30,3,"53.1%","22.7%","11%",535,490,16.7,8.7,"23.6%",629,"26.9%","23.4%",0.45,0.12
