"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",13,"39.4%","33.3%","72.7%","62%","31%",28,22,83,5,"66.5%","17.5%","15%",35,17,0.8,9,"25.4%",461,"25.3%","22.6%",0.52,0.35
"Annie","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Aphelios","ADC",13,"39.4%","12.1%","51.5%","46%","38%",57,28,49,3.8,"73.6%","17.8%","15%",53,-37,-0.4,10.1,"35.2%",678,"34.2%","29.1%",0.42,0.41
"Ashe","ADC",1,"3.0%","9.1%","15.2%","0%","100%",3,2,5,4,"100.0%","9.5%","0%",-260,-61,4,8.1,"26.4%",277,"19.0%","23.1%",0.34,0.17
"Ashe","Support",1,"3.0%","9.1%","15.2%","0%","0%",1,4,13,3.5,"100.0%","17.4%","0%",613,644,-10,1,"4.2%",467,"18.4%","13.1%",2.78,0.56
"Blitzcrank","Support",3,"9.1%","6.1%","15.2%","67%","100%",2,9,21,2.6,"50.0%","29.0%","67%",-110,-279,-3.7,1.1,"2.6%",98,"5.4%","8.7%",1.62,0.3
"Braum","Support",2,"6.1%","0.0%","6.1%","50%","50%",1,6,29,5,"81.1%","22.2%","50%",-53,-81,3,1,"1.9%",223,"9.0%","9.5%",2.05,0.28
"Caitlyn","ADC",1,"3.0%","42.4%","45.5%","0%","100%",2,2,6,4,"88.9%","10.5%","100%",457,-1,6,10.5,"35.9%",343,"19.4%","29.9%",0.37,0.45
"Draven","ADC",3,"9.1%","3.0%","12.1%","33%","100%",5,3,9,4.7,"70.0%","12.0%","0%",-20,284,-3,9.3,"28.1%",407,"24.0%","27.0%",0.43,0.29
"Elise","Jungle",3,"9.1%","45.5%","54.5%","100%","67%",6,3,13,6.3,"67.9%","30.0%","67%",169,-187,-0.3,6,"15.4%",413,"20.3%","18.3%",0.32,0.49
"Ezreal","ADC",1,"3.0%","0.0%","3.0%","0%","100%",2,2,3,2.5,"71.4%","16.7%","0%",82,60,4,9.8,"31.6%",580,"31.6%","28.4%",0.33,0.39
"Galio","Middle",1,"3.0%","0.0%","3.0%","0%","100%",0,4,6,1.5,"75.0%","18.2%","100%",-910,-2,3,9.3,"26.5%",267,"14.6%","22.5%",0.28,0.14
"Gnar","Top",11,"33.3%","6.1%","39.4%","55%","55%",22,34,51,2.1,"51.0%","21.5%","27%",-117,-96,1.5,8,"24.0%",473,"23.1%","22.3%",0.37,0.25
"Gragas","Middle",2,"6.1%","12.1%","39.4%","50%","50%",8,10,16,2.4,"61.5%","25.6%","0%",-223,-61,-2.5,7.5,"21.6%",487,"21.1%","20.9%",0.18,0.13
"Gragas","Top",7,"21.2%","12.1%","39.4%","71%","86%",11,5,40,10.2,"54.3%","9.3%","14%",-53,52,-9.4,7.7,"21.4%",473,"26.1%","19.5%",0.43,0.21
"Gwen","Top",1,"3.0%","0.0%","3.0%","0%","100%",2,4,7,2.3,"81.8%","21.1%","0%",-295,-236,6,9.2,"28.8%",514,"29.0%","25.2%",0.36,0.36
"Heimerdinger","Support",1,"3.0%","3.0%","6.1%","0%","0%",0,3,5,1.7,"83.3%","17.6%","0%",67,-331,-6,1,"3.2%",171,"9.9%","8.8%",1.63,0.51
"Jarvan IV","Top",1,"3.0%","0.0%","3.0%","0%","100%",0,6,4,0.7,"50.0%","26.1%","0%",-335,-60,-10,6.5,"16.8%",288,"13.8%","15.8%",0.32,0.19
"Jax","Top",5,"15.2%","12.1%","27.3%","40%","80%",12,12,17,2.4,"50.0%","18.2%","20%",-229,-80,-5.8,8,"25.7%",436,"25.2%","22.4%",0.51,0.19
"Jayce","Middle",3,"9.1%","24.2%","57.6%","67%","0%",12,5,13,5,"73.5%","17.9%","0%",252,408,11,9,"28.1%",750,"29.3%","24.2%",0.39,0.39
"Jayce","Top",8,"24.2%","24.2%","57.6%","25%","13%",22,29,44,2.3,"68.0%","20.4%","25%",116,-134,4.4,8.1,"25.2%",613,"28.6%","24.3%",0.53,0.18
"Jinx","ADC",2,"6.1%","0.0%","6.1%","100%","100%",15,6,13,4.7,"90.3%","26.1%","0%",625,74,10.5,10,"41.8%",1250,"44.6%","32.2%",0.43,0.37
