"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BRION",44,13,31,33.3,363,525,0.69,0.6,-0.79,"-6.7%",37.4,-7.8,-1052,"45%","34%","27%",2.6,"44%","52%","40%","60%","36%","42%","49.3%","46.8%",2.57,1.49,1.83
"Dplus KIA",40,26,14,31.7,486,303,1.6,0.62,1.11,"6.5%",64.1,0.9,1207,"65%","63%","58%",4.6,"63%","60%","64%","40%","58%","58%","50.1%","53.2%",3.02,1.59,1.68
"DRX",44,12,32,31.1,349,602,0.58,0.69,-1.41,"-9.7%",31.3,-4,-1543,"30%","34%","34%",3.3,"39%","32%","41%","33%","27%","34%","49.0%","47.1%",2.47,1.44,1.74
"Gen.G",43,30,13,32.9,602,413,1.46,0.72,1,"9.0%",64.4,5.4,1286,"63%","72%","72%",4.9,"60%","47%","61%","67%","67%","67%","50.5%","55.5%",2.61,1.27,1.96
"Hanwha Life Esports",45,24,21,33.7,449,473,0.95,0.61,-0.27,"1.1%",48.3,5,71,"47%","42%","40%",4.4,"52%","38%","41%","40%","44%","51%","50.2%","50.0%",2.91,1.47,1.79
"KT Rolster",43,28,15,31.3,498,332,1.5,0.62,0.7,"4.4%",56,9.2,524,"58%","58%","63%",4.5,"45%","51%","58%","67%","63%","67%","50.9%","50.0%",2.58,1.34,1.79
"Kwangdong Freecs",45,17,28,33.5,414,552,0.75,0.64,-0.33,"-2.3%",49.3,-11.5,-191,"38%","47%","51%",4.5,"52%","40%","42%","40%","31%","29%","50.2%","50.2%",2.72,1.48,1.8
"Liiv SANDBOX",47,24,23,32.9,495,518,0.96,0.65,-0.11,"-2.8%",48.1,3,-400,"55%","36%","45%",2.9,"36%","74%","50%","67%","47%","48%","50.2%","49.2%",2.9,1.55,1.73
"Nongshim RedForce",42,9,33,31,368,537,0.69,0.69,-1.59,"-8.4%",29.6,-8.2,-1880,"40%","26%","19%",2.3,"50%","38%","34%","33%","21%","25%","48.9%","45.0%",2.57,1.5,1.55
"T1",43,35,8,30.2,617,401,1.54,0.78,1.91,"9.7%",73.2,8.2,2123,"60%","91%","93%",5.7,"64%","67%","71%","50%","79%","80%","50.7%","53.4%",2.78,1.38,1.61
