"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",9,"4.4%","2.0%","6.3%","33%","44%",22,31,30,1.7,"55.9%","26.1%","11%",-294,1,-8.4,8.1,"25.6%",523,"24.6%","21.3%",0.42,0.19
"Ahri","Middle",39,"19.0%","8.3%","27.3%","38%","64%",79,60,216,4.9,"74.1%","13.9%","21%",17,-28,0.1,8.7,"24.8%",483,"25.9%","22.7%",0.64,0.31
"Akali","Middle",9,"4.4%","1.0%","5.9%","33%","100%",25,25,25,2,"58.8%","20.8%","11%",13,131,1.2,9.1,"26.6%",444,"24.1%","24.3%",0.32,0.19
"Akali","Top",1,"0.5%","1.0%","5.9%","0%","100%",5,5,5,2,"66.7%","20.8%","0%",257,509,8,8.4,"31.4%",375,"18.8%","24.9%",0.22,0.22
"Alistar","Support",43,"21.0%","18.5%","39.5%","47%","63%",27,131,347,2.9,"72.5%","25.2%","35%",-50,-60,-0.3,1,"1.8%",114,"5.7%","8.6%",1.7,0.28
"Annie","Middle",59,"28.8%","42.0%","70.7%","63%","41%",108,114,414,4.6,"67.9%","20.1%","19%",105,88,2.1,7.9,"20.5%",506,"24.0%","20.1%",0.36,0.24
"Aphelios","ADC",96,"46.8%","13.2%","60.0%","49%","38%",347,208,333,3.3,"71.4%","19.4%","22%",71,-38,1.6,10,"33.1%",603,"29.2%","28.2%",0.44,0.43
"Ashe","ADC",16,"7.8%","5.9%","15.1%","31%","69%",45,54,82,2.4,"74.7%","22.7%","19%",29,-78,1.6,8.8,"27.6%",548,"23.9%","23.9%",0.41,0.48
"Ashe","Support",3,"1.5%","5.9%","15.1%","33%","67%",0,7,17,2.4,"65.4%","21.9%","33%",490,-359,-6.3,1.3,"6.3%",314,"16.4%","11.6%",2.64,0.88
"Aurelion Sol","Middle",2,"1.0%","1.5%","2.4%","50%","100%",13,2,10,11.5,"74.2%","13.3%","0%",245,-104,-8.5,9.5,"29.8%",648,"29.7%","25.2%",0.54,0.23
