"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",14,"45.2%","45.2%","90.3%","57%","7%",46,32,59,3.3,"67.3%","21.3%","0%",-37,55,-2.1,8.8,"25.9%",522,"25.5%","23.6%",0.35,0.21
"Ahri","Middle",5,"16.1%","12.9%","29.0%","20%","60%",17,13,31,3.7,"71.6%","14.4%","20%",-238,-288,-9.6,7.8,"23.5%",610,"29.4%","22.4%",0.63,0.27
"Alistar","Support",11,"35.5%","61.3%","96.8%","64%","27%",8,31,100,3.5,"74.0%","23.1%","18%",2,78,1.4,1.1,"2.3%",146,"7.0%","9.4%",1.7,0.32
"Amumu","Support",1,"3.2%","3.2%","6.5%","0%","100%",0,5,2,0.4,"100.0%","38.5%","0%",-295,-378,-4,0.9,"2.4%",98,"6.2%","6.3%",2.24,0.39
"Annie","Middle",3,"9.7%","6.5%","16.1%","67%","100%",4,3,19,7.7,"82.1%","14.3%","0%",-360,-502,-15.7,6.8,"16.8%",384,"24.8%","17.2%",0.32,0.22
"Aphelios","ADC",5,"16.1%","0.0%","16.1%","40%","80%",14,9,20,3.8,"72.3%","15.8%","20%",216,145,9.6,10.9,"37.7%",539,"28.3%","30.2%",0.45,0.39
"Azir","Middle",21,"67.7%","29.0%","96.8%","48%","33%",59,47,83,3,"66.0%","20.1%","24%",110,144,4.8,9.4,"27.5%",586,"30.4%","24.9%",0.49,0.34
"Blitzcrank","Support",2,"6.5%","9.7%","16.1%","50%","100%",1,4,15,4,"53.3%","36.4%","0%",-399,-181,5.5,1.1,"2.1%",181,"8.4%","8.8%",1.84,0.33
"Braum","Support",2,"6.5%","9.7%","16.1%","0%","100%",0,7,4,0.6,"57.1%","24.1%","50%",-44,227,0.5,1.3,"2.3%",117,"7.6%","8.2%",1.73,0.33
"Camille","Top",1,"3.2%","0.0%","3.2%","100%","100%",4,2,10,7,"66.7%","50.0%","100%",769,774,21,6.9,"18.1%",526,"22.6%","20.8%",0.39,0.23
"Cassiopeia","Middle",1,"3.2%","0.0%","3.2%","0%","100%",2,4,1,0.8,"100.0%","25.0%","100%",-294,-82,-8,7.6,"20.6%",566,"27.6%","22.5%",0.61,0.18
"Corki","Middle",2,"6.5%","3.2%","9.7%","100%","100%",8,2,15,11.5,"67.6%","10.5%","0%",-151,-114,-1.5,8.9,"26.7%",610,"24.4%","23.9%",0.47,0.21
"Draven","ADC",3,"9.7%","9.7%","19.4%","33%","67%",13,8,19,4,"72.7%","16.3%","33%",296,409,10.7,9.1,"30.8%",626,"26.4%","29.7%",0.36,0.3
"Ezreal","ADC",1,"3.2%","3.2%","6.5%","0%","0%",2,3,0,0.7,"33.3%","15.0%","0%",-285,-87,-14,9.4,"31.6%",625,"34.5%","27.2%",0.34,0.31
"Galio","Support",1,"3.2%","0.0%","3.2%","0%","100%",0,5,5,1,"83.3%","25.0%","0%",-231,-52,-2,1.3,"4.1%",196,"10.8%","8.0%",1.62,0.25
"Gangplank","Top",1,"3.2%","3.2%","6.5%","100%","100%",4,2,10,7,"82.4%","40.0%","0%",-1156,-536,-18,8.2,"28.9%",591,"29.6%","24.1%",0.43,0.03
"Gnar","Top",3,"9.7%","6.5%","16.1%","67%","67%",10,5,25,7,"63.6%","11.6%","0%",-69,136,1.7,8.7,"27.5%",672,"23.1%","23.3%",0.48,0.21
"Gragas","Top",3,"9.7%","9.7%","19.4%","67%","67%",7,6,13,3.3,"60.6%","17.1%","33%",210,172,1,7.5,"20.6%",386,"18.8%","20.0%",0.35,0.07
"Jax","Top",9,"29.0%","48.4%","77.4%","33%","11%",31,28,32,2.3,"62.4%","20.6%","33%",-40,-178,-2.8,7.9,"24.6%",428,"20.8%","24.1%",0.48,0.12
"Jayce","Middle",5,"16.1%","9.7%","25.8%","40%","20%",6,13,13,1.5,"65.5%","21.7%","0%",-172,-236,-4.4,9,"26.9%",454,"25.9%","24.3%",0.54,0.3
"K'Sante","Middle",1,"3.2%","9.7%","48.4%","100%","100%",4,3,10,4.7,"58.3%","20.0%","0%",206,-69,6,7,"19.7%",486,"18.5%","19.8%",0.38,0.49
"K'Sante","Top",11,"35.5%","9.7%","48.4%","55%","91%",26,23,42,3,"49.3%","20.0%","18%",-93,-34,-1.6,7.8,"21.7%",350,"17.8%","21.0%",0.39,0.18
"Kai'Sa","ADC",11,"35.5%","38.7%","74.2%","36%","36%",40,21,35,3.6,"67.6%","16.7%","9%",-239,-9,-5.7,10,"33.0%",581,"28.7%","27.8%",0.54,0.32
"Kha'Zix","Jungle",3,"9.7%","0.0%","9.7%","67%","67%",10,6,7,2.8,"73.9%","21.4%","67%",165,65,6,6.6,"17.8%",430,"22.7%","21.4%",1.22,0.93
"LeBlanc","-",0,"0%","35.5%","35.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",1,"3.2%","3.2%","6.5%","0%","100%",1,5,1,0.4,"50.0%","38.5%","0%",-838,-453,-12,4.9,"10.4%",151,"10.4%","18.4%",0.55,0.39
"Leona","Support",5,"16.1%","6.5%","22.6%","20%","80%",3,23,22,1.1,"73.5%","26.1%","20%",-93,-33,0.4,1.4,"3.5%",94,"5.2%","9.1%",1.83,0.6
"Lucian","ADC",2,"6.5%","6.5%","12.9%","50%","100%",7,5,8,3,"62.5%","18.5%","0%",369,50,14,10.1,"37.2%",658,"28.1%","28.6%",0.48,0.41
"Lulu","Support",8,"25.8%","22.6%","48.4%","50%","75%",1,22,74,3.4,"86.2%","22.7%","25%",183,-1,-12,0.5,"1.6%",141,"6.8%","8.9%",1.82,0.31
"Maokai","Jungle",15,"48.4%","38.7%","93.5%","67%","20%",26,29,128,5.3,"79.4%","17.7%","53%",-64,4,-3.5,5.1,"12.7%",383,"18.1%","16.0%",0.3,0.37
