"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Dplus KIA",40,24,16,31.6,525,428,1.23,0.75,0.54,"2.3%",57,3,638,"48%","45%","53%",4.8,"49%","60%","59%","57%","60%","60%","49.8%","52.0%",3.56,1.46,1.65
"DRX",43,16,27,30.7,415,577,0.72,0.75,-0.82,"-6.7%",40,-2.8,-1036,"40%","37%","33%",4.3,"50%","42%","41%","50%","40%","44%","48.7%","46.6%",3.44,1.42,1.72
"Gen.G",39,32,7,29.9,563,318,1.77,0.75,1.16,"8.9%",62.8,19.3,1232,"74%","77%","69%",5.5,"45%","49%","65%","67%","62%","71%","51.4%","56.3%",3.35,1.1,1.75
"Hanwha Life Esports",41,27,14,30.8,541,426,1.27,0.76,0.25,"3.3%",54.9,11,407,"54%","59%","56%",4.4,"48%","51%","50%","75%","49%","60%","50.4%","51.9%",3.63,1.62,1.58
"KT Rolster",41,35,6,29.3,620,320,1.94,0.78,0.97,"7.2%",61.5,23.9,933,"51%","63%","76%",4.2,"49%","63%","66%",,"73%","69%","50.9%","51.9%",3.36,1.37,1.54
"Kwangdong Freecs",38,10,28,31.7,336,551,0.61,0.74,-0.23,"-4.9%",46.6,-20.2,-139,"45%","45%","45%",4.1,"50%","39%","44%","50%","18%","24%","50.1%","48.2%",3.39,1.49,1.58
"Liiv SANDBOX",39,12,27,32.3,434,550,0.79,0.78,-0.59,"-2.5%",42.7,-11.9,-841,"44%","49%","46%",3.3,"45%","56%","44%","67%","54%","41%","50.1%","47.4%",3.79,1.7,1.77
"Nongshim RedForce",43,13,30,30.8,410,587,0.7,0.75,-1.03,"-5.7%",37.2,-7,-1112,"44%","26%","26%",3.1,"49%","47%","41%","0%","30%","38%","49.1%","46.5%",3.81,1.66,1.67
"OKSavingsBank BRION",45,15,30,32.3,380,483,0.79,0.59,-0.39,"-3.4%",45.2,-11.8,-277,"58%","47%","40%",3.5,"54%","44%","41%","50%","42%","46%","49.1%","48.8%",3.47,1.47,1.87
"T1",41,21,20,30.9,474,473,1,0.74,0.39,"2.5%",54,-2.8,351,"44%","56%","61%",4.9,"60%","49%","52%","0%","51%","52%","50.6%","51.0%",3.54,1.45,1.67
