"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"K'Sante","Top",145,"44.1%","22.8%","66.9%","50%","32%",336,371,659,2.7,"54.4%","20.3%","-","-","-","-",7.7,"-",418,"19.2%","21.2%",0.36,0.16
"Zeri","ADC",137,"41.6%","40.7%","82.4%","60%","32%",694,262,713,5.4,"74.5%","17.7%","-","-","-","-",10.2,"-",639,"29.1%","28.6%",0.4,0.55
"Vi","Jungle",127,"38.6%","26.1%","64.7%","59%","40%",308,396,854,2.9,"67.8%","25.5%","-","-","-","-",5.3,"-",254,"11.4%","17.1%",0.31,0.42
"Wukong","Jungle",124,"37.7%","12.5%","50.2%","40%","64%",307,383,704,2.6,"69.6%","22.5%","-","-","-","-",5.2,"-",306,"14.6%","18.0%",0.31,0.44
"Sejuani","Jungle",120,"36.5%","37.1%","73.9%","45%","48%",173,310,888,3.4,"72.7%","21.5%","-","-","-","-",5,"-",274,"13.0%","16.5%",0.34,0.42
"Varus","ADC",110,"33.4%","18.5%","53.5%","53%","11%",379,257,519,3.5,"62.6%","18.0%","-","-","-","-",8.9,"-",644,"27.3%","25.0%",0.38,0.33
"Maokai","Jungle",90,"27.4%","45.3%","72.6%","68%","31%",182,229,783,4.2,"73.8%","23.0%","-","-","-","-",5,"-",563,"21.2%","17.5%",0.3,0.33
"Aphelios","ADC",84,"25.5%","7.0%","32.5%","50%","54%",317,198,350,3.4,"65.1%","17.9%","-","-","-","-",9.6,"-",607,"28.0%","27.5%",0.42,0.37
"Lucian","ADC",84,"25.5%","41.9%","67.5%","44%","65%",322,211,343,3.2,"70.2%","20.0%","-","-","-","-",9.2,"-",679,"31.6%","27.7%",0.37,0.38
"Nami","Support",83,"25.2%","1.2%","26.4%","43%","31%",47,189,708,4,"82.8%","17.7%","-","-","-","-",0.5,"-",163,"7.7%","9.2%",1.31,0.32
"Ryze","Middle",82,"24.9%","27.1%","52.0%","48%","33%",247,195,406,3.3,"64.8%","18.2%","-","-","-","-",9,"-",559,"25.5%","24.2%",0.35,0.22
"Renekton","Top",81,"24.6%","30.1%","56.5%","49%","31%",177,231,323,2.2,"46.3%","22.3%","-","-","-","-",8.5,"-",451,"20.6%","22.2%",0.29,0.22
"Jax","Top",73,"22.2%","60.2%","82.4%","53%","12%",211,184,296,2.8,"53.3%","21.3%","-","-","-","-",8.3,"-",469,"21.8%","23.2%",0.36,0.18
