"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Wukong","Jungle",36,"72.0%","10.0%","82.0%","58%","31%",112,101,254,3.6,"70.2%","23.4%","-","-","-","-",5.5,"-",337,"15.6%","18.5%",0.34,0.37
"Aphelios","ADC",34,"68.0%","18.0%","86.0%","38%","53%",110,99,155,2.7,"65.3%","19.6%","-","-","-","-",9.5,"-",552,"28.9%","27.3%",0.41,0.38
"Rakan","Support",25,"50.0%","34.0%","84.0%","52%","16%",17,58,243,4.5,"80.5%","19.5%","-","-","-","-",1.3,"-",134,"6.9%","9.9%",1.92,0.51
"Zeri","ADC",25,"50.0%","44.0%","94.0%","56%","32%",147,46,124,5.9,"74.9%","14.5%","-","-","-","-",10.6,"-",751,"34.1%","29.6%",0.52,0.59
"Xayah","ADC",21,"42.0%","30.0%","72.0%","57%","43%",95,44,116,4.8,"72.3%","16.7%","-","-","-","-",10.2,"-",675,"30.6%","27.8%",0.36,0.4
"Ahri","Middle",20,"40.0%","20.0%","60.0%","75%","30%",94,34,138,6.8,"69.7%","15.9%","-","-","-","-",8.7,"-",586,"25.2%","24.1%",0.34,0.27
"K'Sante","Top",20,"40.0%","10.0%","50.0%","50%","35%",51,45,122,3.8,"61.1%","18.2%","-","-","-","-",7.9,"-",396,"18.3%","20.7%",0.36,0.14
"Nautilus","Support",18,"36.0%","14.0%","50.0%","39%","78%",17,73,134,2.1,"66.8%","27.0%","-","-","-","-",1.2,"-",120,"6.2%","9.0%",1.76,0.36
"Annie","Middle",17,"34.0%","34.0%","74.0%","59%","18%",37,41,151,4.6,"73.2%","20.5%","-","-","-","-",7.1,"-",524,"24.3%","20.5%",0.29,0.21
"Vi","Jungle",17,"34.0%","58.0%","92.0%","59%","29%",39,50,112,3,"65.4%","23.9%","-","-","-","-",5.7,"-",275,"13.1%","18.0%",0.39,0.36
