"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Anyone's Legend",41,13,28,32.5,430,570,0.75,0.75,,"-7.3%",,,,"56%",,,,,,"42%",,,"31%","49.1%","46.6%",2.87,1.27,1.49
"Bilibili Gaming",42,25,17,32,605,545,1.11,0.86,,"4.5%",,,,"55%",,,,,,"55%",,,"57%","50.5%","53.1%",2.93,1.25,1.63
"EDward Gaming",39,28,11,31.4,509,406,1.25,0.75,,"4.0%",,,,"46%",,,,,,"67%",,,"65%","50.5%","53.5%",2.76,1.1,1.64
"FunPlus Phoenix",39,13,26,32.3,446,541,0.82,0.78,,"-4.9%",,,,"41%",,,,,,"40%",,,"40%","49.2%","48.8%",2.72,1.2,1.69
"Invictus Gaming",36,18,18,31.4,475,511,0.93,0.87,,"-2.2%",,,,"61%",,,,,,"42%",,,"51%","50.1%","47.2%",2.98,1.15,1.63
"JD Gaming",36,28,8,30.3,568,340,1.67,0.83,,"11.0%",,,,"50%",,,,,,"63%",,,"64%","51.3%","56.3%",3.1,1.26,1.71
"LGD Gaming",38,13,25,33.4,386,500,0.77,0.7,,"-3.7%",,,,"53%",,,,,,"43%",,,"39%","49.6%","48.7%",2.64,1.21,1.53
"LNG Esports",39,28,11,32.9,631,431,1.46,0.83,,"7.0%",,,,"54%",,,,,,"58%",,,"60%","50.8%","53.0%",2.91,1.28,1.77
"Ninjas in Pyjamas",39,14,25,31.8,459,509,0.9,0.78,,"-3.9%",,,,"51%",,,,,,"45%",,,"46%","49.3%","47.7%",2.61,1.06,1.56
"Oh My God",42,24,18,31.9,512,511,1,0.76,,"2.1%",,,,"50%",,,,,,"52%",,,"64%","50.2%","50.1%",2.96,1.08,1.65
"Rare Atom",40,15,25,31.5,458,574,0.8,0.82,,"-2.8%",,,,"53%",,,,,,"44%",,,"46%","49.9%","50.0%",2.71,1.11,1.72
"Royal Never Give Up",37,18,19,31.6,444,461,0.96,0.77,,"-0.3%",,,,"54%",,,,,,"47%",,,"43%","50.2%","48.1%",2.94,1.28,1.74
"Team WE",40,19,21,32,530,517,1.03,0.82,,"-0.2%",,,,"45%",,,,,,"52%",,,"53%","49.7%","47.3%",3.19,1.29,1.66
"ThunderTalk Gaming",36,18,18,33.2,465,432,1.08,0.75,,"-1.6%",,,,"58%",,,,,,"54%",,,"46%","49.6%","49.4%",3.28,1.27,1.74
"Top Esports",38,21,17,31.2,547,435,1.26,0.83,,"2.4%",,,,"45%",,,,,,"59%",,,"52%","50.2%","49.9%",2.7,1.23,1.75
"Ultra Prime",37,9,28,30.1,324,606,0.53,0.83,,"-9.6%",,,,"32%",,,,,,"34%",,,"29%","49.2%","47.3%",3.01,1.38,1.44
"Weibo Gaming",39,25,14,31.6,551,462,1.19,0.82,,"5.5%",,,,"41%",,,,,,"52%",,,"59%","50.6%","53.1%",3.03,1.38,1.63
