"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",26,15,11,31.4,393,311,1.26,0.86,,"6.9%",,,,"58%",,,,,,"55%",,,"63%","49.6%","53.4%",3.45,1.36,1.68
"EDward Gaming",12,5,7,32.2,161,202,0.8,0.94,,"-5.6%",,,,"50%",,,,,,"51%",,,"39%","49.6%","47.5%",3.16,1.2,1.48
"JD Gaming",12,9,3,30.9,193,135,1.43,0.88,,"4.2%",,,,"33%",,,,,,"55%",,,"68%","50.9%","51.6%",3.38,1.39,1.64
"LNG Esports",4,1,3,33.4,41,64,0.64,0.79,,"-7.2%",,,,"25%",,,,,,"22%",,,"57%","49.3%","48.4%",3.31,1.36,1.6
"Oh My God",18,9,9,33.1,243,242,1,0.81,,"-0.8%",,,,"44%",,,,,,"53%",,,"36%","50.2%","49.3%",3.15,1,1.46
"Royal Never Give Up",8,4,4,29.6,89,98,0.91,0.79,,"-1.9%",,,,"75%",,,,,,"50%",,,"50%","50.3%","48.0%",3.72,1.4,1.8
"Team WE",4,1,3,32.2,36,74,0.49,0.85,,"-9.4%",,,,"50%",,,,,,"33%",,,"67%","48.4%","49.4%",3.34,1.17,1.55
"ThunderTalk Gaming",4,1,3,29.3,40,57,0.7,0.83,,"-9.2%",,,,"25%",,,,,,"41%",,,"17%","49.3%","47.8%",3.44,1.22,1.55
"Top Esports",9,5,4,31.6,121,102,1.19,0.78,,"0.9%",,,,"44%",,,,,,"51%",,,"42%","50.6%","48.7%",3.1,1.34,1.66
"Weibo Gaming",3,0,3,25.5,22,58,0.38,1.05,,"-12.6%",,,,"67%",,,,,,"30%",,,"0%","51.2%","43.3%",3.02,1.39,1.45
