"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"K'Sante","Top",30,"57.7%","21.2%","78.8%","47%","43%",59,85,143,2.4,"53.4%","20.9%","-","-","-","-",7.5,"-",412,"18.5%","19.9%",0.41,0.18
"Nautilus","Support",29,"55.8%","30.8%","86.5%","45%","41%",22,94,251,2.9,"69.1%","23.7%","-","-","-","-",1.2,"-",155,"6.7%","9.1%",1.66,0.37
"Sejuani","Jungle",27,"51.9%","36.5%","88.5%","52%","26%",44,51,233,5.4,"81.7%","16.6%","-","-","-","-",5.5,"-",294,"13.8%","17.2%",0.38,0.42
"Xayah","ADC",27,"51.9%","34.6%","86.5%","67%","33%",117,53,183,5.7,"77.3%","17.0%","-","-","-","-",9.8,"-",632,"27.0%","26.3%",0.39,0.38
"Azir","Middle",26,"50.0%","26.9%","76.9%","38%","73%",101,68,144,3.6,"72.7%","19.4%","-","-","-","-",9.1,"-",659,"29.8%","25.7%",0.37,0.29
"Jayce","Middle",25,"48.1%","38.5%","86.5%","56%","16%",122,52,118,4.6,"75.5%","18.8%","-","-","-","-",8.7,"-",702,"30.3%","25.6%",0.42,0.3
"Maokai","Jungle",23,"44.2%","40.4%","88.5%","57%","26%",42,54,192,4.3,"76.7%","20.7%","-","-","-","-",4.8,"-",499,"20.9%","17.1%",0.36,0.3
"Renekton","Top",20,"38.5%","28.8%","67.3%","55%","25%",48,43,100,3.4,"53.0%","18.2%","-","-","-","-",8.6,"-",437,"19.6%","22.4%",0.4,0.24
"Rell","Support",18,"34.6%","34.6%","88.5%","28%","17%",8,64,136,2.3,"73.8%","25.9%","-","-","-","-",1.2,"-",118,"5.9%","8.9%",1.71,0.38
"Kai'Sa","ADC",17,"32.7%","65.4%","100.0%","53%","0%",90,38,82,4.5,"78.2%","16.2%","-","-","-","-",9.8,"-",658,"30.2%","28.4%",0.51,0.43
"Alistar","Support",15,"28.8%","26.9%","55.8%","60%","60%",3,54,121,2.3,"67.0%","25.8%","-","-","-","-",1,"-",126,"5.8%","8.5%",1.85,0.29
"Varus","ADC",15,"28.8%","25.0%","53.8%","60%","47%",61,42,110,4.1,"75.0%","23.0%","-","-","-","-",9.2,"-",652,"25.8%","25.1%",0.58,0.4
"Tristana","Middle",14,"26.9%","48.1%","82.7%","57%","36%",46,40,57,2.6,"68.7%","22.5%","-","-","-","-",9.6,"-",641,"29.6%","26.4%",0.38,0.31
"LeBlanc","Middle",13,"25.0%","69.2%","94.2%","69%","23%",54,19,72,6.6,"64.9%","13.9%","-","-","-","-",9.5,"-",769,"32.7%","25.4%",0.29,0.27
"Leona","Support",11,"21.2%","5.8%","26.9%","64%","55%",4,42,106,2.6,"64.0%","29.0%","-","-","-","-",1,"-",112,"5.0%","8.9%",1.79,0.33
