"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Anyone's Legend",39,12,27,31.1,421,552,0.76,0.8,,"-5.2%",,,,"44%",,,,,,"46%",,,"38%","49.5%","49.1%",3.26,1.41,1.49
"Bilibili Gaming",37,30,7,30.2,662,460,1.44,1,,"8.7%",,,,"59%",,,,,,"60%",,,"67%","50.6%","54.6%",3.48,1.39,1.65
"EDward Gaming",41,20,21,31,526,574,0.92,0.87,,"1.0%",,,,"46%",,,,,,"50%",,,"53%","50.3%","51.3%",3.37,1.3,1.68
"FunPlus Phoenix",37,16,21,29.6,395,488,0.81,0.81,,"-3.6%",,,,"51%",,,,,,"39%",,,"37%","49.5%","48.1%",3.31,1.25,1.56
"Invictus Gaming",36,13,23,30.2,474,538,0.88,0.93,,"-5.2%",,,,"44%",,,,,,"55%",,,"39%","49.5%","48.7%",3.28,1.25,1.43
"JD Gaming",36,29,7,29.1,616,377,1.63,0.95,,"8.1%",,,,"56%",,,,,,"61%",,,"57%","51.3%","56.3%",3.54,1.22,1.64
"LGD Gaming",39,11,28,31.7,439,583,0.75,0.83,,"-3.7%",,,,"46%",,,,,,"41%",,,"40%","49.4%","47.6%",3.24,1.33,1.56
"LNG Esports",37,25,12,30.4,570,384,1.48,0.85,,"5.6%",,,,"68%",,,,,,"53%",,,"63%","50.6%","50.5%",3.18,1.36,1.65
"Ninjas in Pyjamas",36,15,21,29,391,466,0.84,0.82,,"-2.5%",,,,"44%",,,,,,"42%",,,"57%","49.5%","49.6%",3.33,1.25,1.52
"Oh My God",40,23,17,29,495,469,1.06,0.83,,"0.7%",,,,"53%",,,,,,"52%",,,"65%","49.9%","50.3%",3.27,1.06,1.54
"Rare Atom",37,12,25,29.9,416,573,0.73,0.89,,"-2.3%",,,,"49%",,,,,,"41%",,,"46%","49.6%","49.3%",3.38,1.22,1.46
"Royal Never Give Up",40,22,18,30.3,562,519,1.08,0.89,,"1.7%",,,,"55%",,,,,,"56%",,,"50%","50.1%","49.3%",3.55,1.34,1.64
"Team WE",37,18,19,30.9,460,431,1.07,0.78,,"0.4%",,,,"51%",,,,,,"50%",,,"56%","49.8%","46.7%",3.81,1.26,1.73
"ThunderTalk Gaming",41,16,25,32.3,474,551,0.86,0.77,,"-3.2%",,,,"49%",,,,,,"50%",,,"38%","50.0%","49.4%",3.36,1.31,1.56
"Top Esports",38,25,13,30.5,531,402,1.32,0.8,,"2.6%",,,,"55%",,,,,,"60%",,,"56%","50.7%","49.5%",3.24,1.4,1.71
"Ultra Prime",38,12,26,28.6,401,585,0.69,0.91,,"-7.1%",,,,"37%",,,,,,"46%",,,"37%","49.1%","48.9%",3.2,1.25,1.37
"Weibo Gaming",39,25,14,30.4,502,395,1.27,0.76,,"4.5%",,,,"38%",,,,,,"49%",,,"63%","50.5%","51.1%",3.29,1.37,1.66
